userName,review,at,score,app_name,stemming,skor_sentimen,label
Mhd Ridoan,sering kali gangguan jarigan lah kendala partner lah apa lah,2025-08-31 17:01:50,1,BRImo,sering kali ganggu jarigan lah kendala partner lah apa lah,-1,negatif
Awk21 _,"KENAPA BRIMO MUNCUL TULISAN ""SELESAIKAN PANGGILAN TELEPON DULU"" ITU KENAPA YA INI LAGI URGENT MAU TF MALAH BEGINI !",2025-08-31 16:52:52,1,BRImo,kenapa brimo muncul tulis selesai panggil telepon dulu itu kenapa ya ini lagi urgent mau tf malah begini,-1,negatif
Naomi Maulia,bagusssss,2025-08-31 16:50:46,4,BRImo,bagusssss,1,positif
Bil Ly,sangat bagus,2025-08-31 16:50:03,4,BRImo,sangat bagus,1,positif
Cesko Lala,Gak bisa buka BRI nya astaga,2025-08-31 16:15:09,1,BRImo,gak bisa buka bri nya astaga,1,positif
althaire aldebaran,"hai brimo, kenapa transaksi saya dri tanggal 29 statusnya masih diproses? pas mau cek ke peninjauan malah belum ada transaksi. padahal di aktivitas diproses dan saldo saya udh berkurang. ada solusi?",2025-08-31 15:57:50,4,BRImo,hai brimo kenapa transaksi saya dri tanggal 29 status masih proses pas mau cek ke tinjau malah belum ada transaksi padahal di aktivitas proses dan saldo saya udh kurang ada solusi,1,positif
Ardi Putra Mbarep,sangat membantu,2025-08-31 15:56:56,5,BRImo,sangat bantu,1,positif
Nadi,bagus bri terpecaya,2025-08-31 15:45:49,5,BRImo,bagus bri terpecaya,1,positif
Massam Samosir,terbaik 👍👍👍,2025-08-31 15:11:14,5,BRImo,baik,1,positif
Suroto Ichang,Mantap. Aplikasi yang memudahkan dan membuat nyaman saat berada jauh di pedalaman. Transfer uang atau beli paket data gak perlu repot cari ATM lagi.,2025-08-31 15:03:46,4,BRImo,mantap aplikasi yang mudah dan buat nyaman saat ada jauh di dalam transfer uang atau beli paket data gak perlu repot cari atm lagi,3,positif
Gugun Gunawan,mantap,2025-08-31 15:00:56,5,BRImo,mantap,1,positif
MY ENERGI,sangat baik dan lancar,2025-08-31 15:00:23,5,BRImo,sangat baik dan lancar,2,positif
Astra Una,simple,2025-08-31 14:52:20,5,BRImo,simple,1,positif
Natrin Dalia,sangat bagus,2025-08-31 14:51:19,5,BRImo,sangat bagus,1,positif
Syahril Mubarok,bagusss,2025-08-31 14:45:25,5,BRImo,bagusss,1,positif
risky aditya,"di menu bagian ""mutasi"" tidak bisa di screenshot padahal penting kalau ada yg mau bukti pengiriman",2025-08-31 14:37:35,1,BRImo,di menu bagi mutasi tidak bisa di screenshot padahal penting kalau ada yg mau bukti kirim,1,positif
ayusapta widhyantari,setelah diupdate ke yang baru sekarang Brimo tidak bisa beli PLN prabayar ya.??,2025-08-31 14:33:23,1,BRImo,telah diupdate ke yang baru sekarang brimo tidak bisa beli pln prabayar ya,2,positif
JNR Team,Aplikasinya bagus cuman yg saya kecewakan krn saat menelpon aplikasi tdk bisa di gunakan,2025-08-31 14:30:05,2,BRImo,aplikasi bagus cuman yg saya kecewa krn saat telpon aplikasi tdk bisa di guna,2,positif
Rahliyah Iir,update BRImo terbaru punya saya,2025-08-31 14:20:00,3,BRImo,update brimo baru punya saya,1,positif
Suripto Tasmi,gangguan koneksi,2025-08-31 14:10:13,1,BRImo,ganggu koneksi,-1,negatif
Chairul imam Sitorus,mantap dan bagus,2025-08-31 14:09:50,5,BRImo,mantap dan bagus,2,positif
Muhara Fania,"keren ih, tapi ... updatenya jangan keseringan atuh.",2025-08-31 14:06:36,5,BRImo,keren ih tapi updatenya jangan sering atuh,2,positif
Abun Chai CHANEL,bagus,2025-08-31 13:51:29,5,BRImo,bagus,1,positif
febrie Irawan,top,2025-08-31 13:49:56,5,BRImo,top,1,positif
ridho syuhada,Terbaik transaksinya,2025-08-31 13:46:51,5,BRImo,baik transaksi,1,positif
ANTKUR Official,"Aplikasi bagus, hanya kenapa menu tarik tunai tidak muncul? itu saja...",2025-08-31 13:44:00,5,BRImo,aplikasi bagus hanya kenapa menu tarik tunai tidak muncul itu saja,1,positif
Hafit Zhein,taik pas di update malah gabisa transaksi apapun terus ada peringatan di suruh bersihin aplikasi lain yang berjalan giliran udah di bersihin masih sama aja ga bisa transaksi babi lah update macam apa ini nyesel pake brimo,2025-08-31 13:40:24,1,BRImo,taik pas di update malah gabisa transaksi apa terus ada ingat di suruh bersihin aplikasi lain yang jalan gilir udah di bersihin masih sama aja ga bisa transaksi babi lah update macam apa ini nyesel pake brimo,2,positif
Fajar Sutantri,"aplikasi mudah digunakan, tampilan futuristik dan tidak bertele tele. namun selalu muncul notifikasi dana keluar sebesar 750 padahal tidak ada transaksi dalam sebulan. kalau begitu lama2 habis saldoku 😭 mohon untuk diperbaiki, yah.. terimakasih",2025-08-31 13:31:09,5,BRImo,aplikasi mudah guna tampil futuristik dan tidak tele tele namun selalu muncul notifikasi dana keluar besar 750 padahal tidak ada transaksi dalam bulan kalau begitu lama2 habis saldo mohon untuk baik yah terimakasih,2,positif
Haikal Lanapu,bagus,2025-08-31 13:27:38,5,BRImo,bagus,1,positif
Mila novi triyanti,"tolong kembalikan fitur uang masuk uang keluar, masa di mutasi gabisa di ss.",2025-08-31 13:07:51,2,BRImo,tolong kembali fitur uang masuk uang keluar masa di mutasi gabisa di ss,1,positif
Vegy Mulyani Gustaman,membantu,2025-08-31 13:04:14,5,BRImo,bantu,1,positif
nina miawati,Aplikasi apaan sih... setelah di update force close.,2025-08-31 13:01:00,1,BRImo,aplikasi apa sih telah di update force close,1,positif
DIMAS A.S.,knp pin saya selalu salah semenjak update dan menu login dengan sidik jari tetap salah hingga keblokir akun saya?,2025-08-31 12:58:51,5,BRImo,knp pin saya selalu salah semenjak update dan menu login dengan sidik jari tetap salah hingga blokir akun saya,1,positif
Sg Ijo bos,"bagus si, cuma klw transaksi gagal dan sldo udh kesedot, bukunya ke refund tapi malah lenyap. udh 4hari nunggu blm ke refund"", tlpon BRI bilang ya tunggu aja bakal balik ke BRI ya kok. smpe skrng ga ke refund"" ke BRI ya. cukup kecewa. klw make dana ggl gt/pending 1/2jam balik ke dana lagi. ni BRI udh 4hari ga ke refund """,2025-08-31 12:54:16,1,BRImo,bagus si cuma klw transaksi gagal dan sldo udh sedot buku ke refund tapi malah lenyap udh 4hari nunggu blm ke refund tlpon bri bilang ya tunggu aja bakal balik ke bri ya kok smpe skrng ga ke refund ke bri ya cukup kecewa klw make dana ggl gt pending 1 2jam balik ke dana lagi ni bri udh 4hari ga ke refund,-2,negatif
kresna adi yuwono,"aplikasi super lengkap dan mudah, sukses selalu BRI.",2025-08-31 12:52:11,5,BRImo,aplikasi super lengkap dan mudah sukses selalu bri,2,positif
Yana Wbk,kenapa setelah di update ga bisa klik buat tarik tunai atau top up dana tolong di perbaiki biar lebih mudah dan nyaman klo gini susah buat tarik tunai nya,2025-08-31 12:48:42,2,BRImo,kenapa telah di update ga bisa klik buat tarik tunai atau top up dana tolong di baik biar lebih mudah dan nyaman klo gin susah buat tarik tunai nya,6,positif
BOCAH KAMPUNG SERBA BISA,diupdate bukan tambah bagus.malah makin hancur... kenapa sih mau login ga bisa bisa,2025-08-31 12:43:46,1,BRImo,diupdate bukan tambah bagus malah makin hancur kenapa sih mau login ga bisa bisa,2,positif
nur wahid,"aplikasi terlalu apdate melulu,kalau tak update tak bisa dipake,mbca tak pernah update",2025-08-31 12:41:46,1,BRImo,aplikasi terlalu apdate melulu kalau tak update tak bisa dipake mbca tak pernah update,2,positif
Febriyanti Pilo Here,"Dengan Aplikasi Brimo sangat membantu, Bisa Tarik dan Setor Tunai...Mantap,, Tingkatkan kualitasnya..terima kasih",2025-08-31 12:38:24,5,BRImo,dengan aplikasi brimo sangat bantu bisa tarik dan setor tunai mantap tingkat kualitas terima kasih,4,positif
rumah balai,"aplikasinya bagus,hanya saja security sistem nya terlalu ketat, beberapa kali transaksi gagal. sekarang saya beralih BNI untuk transaksi online karena sedikit lebih gampang,",2025-08-31 12:38:20,1,BRImo,aplikasi bagus hanya saja security sistem nya terlalu ketat beberapa kali transaksi gagal sekarang saya alih bni untuk transaksi online karena sedikit lebih gampang,1,positif
Bima Alif,sangat cepat,2025-08-31 12:38:05,5,BRImo,sangat cepat,1,positif
Okss,"Mau login berkali-kali ga bisa, keterangan username/ password salah padahal udah bener, bahkan saya salin langsung dari catetan username sama passwordnya yang kayak biasa tetep ga bisa.. Tolong BRI jangan bikin repot nasabah",2025-08-31 12:36:27,1,BRImo,mau login kali ga bisa terang username password salah padahal udah bener bahkan saya salin langsung dari catetan username sama passwordnya yang kayak biasa tetep ga bisa tolong bri jangan bikin repot nasabah,1,positif
Ryan Fadlisrg,membantu,2025-08-31 12:34:53,5,BRImo,bantu,1,positif
Syakira Caca03,sangat membantu buat usaha jadi makin lancar,2025-08-31 12:34:06,5,BRImo,sangat bantu buat usaha jadi makin lancar,2,positif
